year,genre,count
1997,Action;Indie;Racing,1
1998,Action,1
1999,Action,2
2000,Action,2
2001,Action,2
2001,Action;RPG,1
2001,Strategy;RPG;Indie,1
2002,Violent;Action;Adventure,1
2003,Action,1
2003,Action;Casual;Indie,1
2003,Strategy;RPG;Indie,1
2004,Action,6
2005,Action,1
2005,Indie,1
2005,Indie;Strategy,1
2005,RPG,2
2005,Strategy;RPG;Indie,1
2006,Action,13
2006,Action;Indie,1
2006,Action;Indie;RPG,1
2006,Action;RPG,1
2006,Casual,2
2006,Casual;Indie,2
2006,Casual;Strategy;Indie,1
2006,Indie;Simulation,1
2006,Indie;Strategy,2
2006,Racing,3
2006,Strategy,19
2006,Strategy;RPG;Indie,1
2006,Violent;Action;Strategy,1
2007,Action,45
2007,Action;Adventure,3
2007,Action;Adventure;RPG,1
2007,Action;Free to Play,1
2007,Action;Indie;Strategy,1
2007,Action;RPG,1
2007,Action;Strategy,5
2007,Adventure,2
2007,Adventure;Casual,1
2007,Adventure;RPG,1
2007,Casual,7
2007,Indie,1
2007,Indie;Simulation;Strategy,1
2007,RPG,4
2007,Racing,4
2007,Strategy,14
2007,Violent;Action;Strategy,1
2008,Action,36
2008,Action;Adventure,10
2008,Action;Adventure;Strategy,1
2008,Action;Casual;Indie,1
2008,Action;Free to Play;Indie,1
2008,Action;Free to Play;Strategy,1
2008,Action;Indie,1
2008,Action;Indie;Strategy,3
2008,Action;RPG,4
2008,Action;Racing,1
2008,Action;Simulation;Strategy,1
2008,Adventure,7
2008,Adventure;Indie,1
2008,Adventure;RPG,3
2008,Casual,15
2008,Casual;Indie,3
2008,Casual;Indie;Racing,1
2008,Casual;Simulation,5
2008,Casual;Strategy,2
2008,Indie,3
2008,Indie;Casual,3
2008,Indie;Casual;Sports,1
2008,Indie;RPG,1
2008,Indie;Racing;Sports,1
2008,Indie;Strategy,1
2008,RPG,2
2008,RPG;Casual;Adventure,1
2008,RPG;Strategy,1
2008,Racing,8
2008,Simulation,5
2008,Simulation;Strategy,4
2008,Strategy,12
2008,Strategy;Action;Indie,1
2008,Strategy;Casual,1
2008,Strategy;RPG;Indie,1
2008,Strategy;Simulation,2
2009,Action,53
2009,Action;Adventure,14
2009,Action;Adventure;Casual;Indie;RPG;Strategy,1
2009,Action;Adventure;Indie,1
2009,Action;Adventure;RPG,1
2009,Action;Adventure;Racing;Simulation;Strategy,1
2009,Action;Adventure;Strategy,1
2009,Action;Casual,2
2009,Action;Free to Play;Indie,1
2009,Action;Indie,10
2009,Action;Indie;RPG,5
2009,Action;Indie;Racing;Sports,1
2009,Action;Indie;Sports,1
2009,Action;RPG,2
2009,Action;RPG;Indie,1
2009,Action;Racing,2
2009,Action;Simulation,6
2009,Action;Simulation;Strategy,1
2009,Action;Strategy,2
2009,Action;Strategy;Indie,1
2009,Adventure,34
2009,Adventure;Casual,2
2009,Adventure;Casual;Indie,3
2009,Adventure;Casual;Strategy,1
2009,Adventure;Indie,4
2009,Adventure;RPG,3
2009,Casual,23
2009,Casual;Indie,4
2009,Casual;Indie;Simulation;Strategy,1
2009,Casual;Indie;Strategy,2
2009,Casual;RPG,1
2009,Casual;Simulation,2
2009,Casual;Strategy,1
2009,Gore;Action;Adventure;Indie,1
2009,Indie,4
2009,Indie;Casual,7
2009,Indie;RPG,1
2009,Indie;Racing;Sports,1
2009,Indie;Simulation,1
2009,Indie;Simulation;Sports,1
2009,Indie;Simulation;Strategy,2
2009,Indie;Strategy,2
2009,Nudity;Action;Adventure,1
2009,Nudity;Gore;Action;Adventure;Indie,1
2009,Nudity;Violent;Action;Adventure;RPG,1
2009,RPG,14
2009,RPG;Indie;Casual,1
2009,RPG;Strategy,6
2009,Racing,4
2009,Simulation,22
2009,Simulation;Strategy,5
2009,Sports,2
2009,Sports;Casual,1
2009,Strategy,37
2009,Strategy;Indie,1
2009,Strategy;Simulation,1
2010,Action,31
2010,Action;Adventure,13
2010,Action;Adventure;Casual,1
2010,Action;Adventure;Casual;Indie,1
2010,Action;Adventure;Indie,3
2010,Action;Adventure;Strategy,2
2010,Action;Casual,1
2010,Action;Casual;Indie,5
2010,Action;Casual;Indie;Strategy,1
2010,Action;Free to Play;Indie,1
2010,Action;Free to Play;Massively Multiplayer;RPG;Strategy,1
2010,Action;Indie,8
2010,Action;Indie;RPG,2
2010,Action;Indie;Racing,1
2010,Action;Indie;Racing;Sports,1
2010,Action;RPG,6
2010,Action;RPG;Indie,1
2010,Action;Racing,1
2010,Action;Simulation;Strategy,1
2010,Adventure,10
2010,Adventure;Casual,5
2010,Adventure;Casual;Indie,2
2010,Adventure;Casual;Indie;Simulation,1
2010,Adventure;Casual;Simulation,1
2010,Adventure;Indie,5
2010,Adventure;Indie;RPG,1
2010,Adventure;Indie;RPG;Strategy,1
2010,Adventure;Indie;Strategy,1
2010,Adventure;Simulation;Strategy,1
2010,Casual,33
2010,Casual;Indie,12
2010,Casual;Indie;Strategy,1
2010,Casual;RPG,1
2010,Casual;Simulation,1
2010,Indie,4
2010,Indie;Casual,1
2010,Indie;RPG,1
2010,Indie;RPG;Strategy,2
2010,Indie;Racing,1
2010,Indie;Simulation,1
2010,Indie;Simulation;Strategy,1
2010,Indie;Strategy,2
2010,RPG,7
2010,RPG;Indie,1
2010,RPG;Simulation;Strategy,1
2010,RPG;Strategy,7
2010,Racing,4
2010,Simulation,10
2010,Simulation;Strategy,9
2010,Sports;Strategy,1
2010,Strategy,23
2010,Strategy;Casual,2
2010,Strategy;Indie,2
2010,Strategy;RPG,1
2011,Action,23
2011,Action;Adventure,7
2011,Action;Adventure;Casual,1
2011,Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG,1
2011,Action;Adventure;Free to Play;Massively Multiplayer;RPG,1
2011,Action;Adventure;Indie,3
2011,Action;Adventure;Indie;RPG,2
2011,Action;Adventure;Indie;Strategy,1
2011,Action;Adventure;RPG,2
2011,Action;Adventure;Simulation,1
2011,Action;Casual;Indie,2
2011,Action;Casual;Indie;Simulation;Strategy,1
2011,Action;Casual;Indie;Strategy,3
2011,Action;Free to Play,1
2011,Action;Free to Play;Massively Multiplayer,2
2011,Action;Indie,24
2011,Action;Indie;RPG,3
2011,Action;Indie;RPG;Strategy,2
2011,Action;Indie;Racing;Strategy,1
2011,Action;Indie;Sports,1
